ObjDokNr;Ortsteil;Bezirk;Denkmalart;EnsembleStatus;Adresse;Zugehˆrigkeit;Architekt/K¸nstler;WeitereInformationen;Beschreibung;Datierung;Eintragung
9046432;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 2, Koenigsallee 59;;Hugo Maass ;NA;Landhaus;1911-12;Nach 1995
9046433;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 7/9;Siehe Gartendenkmal Douglasstraﬂe 7/9;Adolf Wollenberg  ;NA;Villa Harteneck;1910-12;Vor 1995
9046434;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 11;;Hugo Maass ;NA;Villa;1912-13;Nach 1995
9046435;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 12, Gustav-Freytag-Straﬂe 2/4, Oberhaardter Weg 32;;Otto Rudolf Salvisberg  ;NA;Haus Flechtheim;1928-29;Vor 1995
9046436;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 15/17;;Oskar Kaufmann  ;NA;Haus Epstein;1922-25;Vor 1995
9046437;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 18;;Breslauer & Salinger ;NA;Landhaus;1924-25;Nach 1995
9046438;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 20;;Heinrich Franﬂen ;NA;Villa;1898;Nach 1995
9046439;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 22-22A;;Wilhelm Kˆrner ;NA;Doppelvilla;1901-02;Nach 1995
9046440;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Douglasstraﬂe 24/28;;Hart & Lesser ;NA;Landhaus Erxleben;1907;Nach 1995
9096135;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Dovestraﬂe;;Heinrich Seeling und A. Bredtschneider ;NA;Dovebr¸cke;1910-11;Nach 1995
9011430;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Duisburger Straﬂe 7;;Ernst Schrader ;NA;Mietshaus;1910-11;Nach 1995
9011431;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Durlacher Straﬂe 15;;Wilhelm Walther; Bildhauer Richard Bieber  ;Restaurant Bieberbau;1893-94;Vor 1995
9020524;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ebereschenallee 14;Siehe Ensemble Ebereschenallee 13-18;Albert Geﬂner ;NA;Wohnhaus;1912-13;Nach 1995
9020525;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ebereschenallee 16;Siehe Ensemble Ebereschenallee 13-18;Bruno Paul  ;NA;Haus Westend;1908;Vor 1995
9020526;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ebereschenallee 18, R¸sternallee 17;Siehe Ensemble Ebereschenallee 13-18;Saalecker Werkst‰tten GmbH (Paul Schultze-Naumburg) ;NA;Haus Behaim-Schwarzbach;1907-08;Nach 1995
9096136;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ebereschenallee 48, R¸sternallee 41;;Hermann Guth ;NA;Rudolf-Hˆhne-Stiftung, Wohnheim;1910-11;Nach 1995
9096137;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 6, Ebereschenallee 5;;E. Petzholtz; Umbauten 1895, 1934 ;Wohnhaus;1871-73 und 1895 und 1934;Nach 1995
9096138;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 11;;Uterwedde;" 1924 Anbau von Otto Firle; 1969-71 Umbau ";Wohnhaus;1889-90 und 1924 und 1969-71;Nach 1995
9096139;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 14;;Uterwedde; 1910 Umbau zum Landhaus ;Wohnhaus;1887-88 und 1910;Nach 1995
9096140;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 15;;August Endell ;NA;Haus Nelson;1910;Nach 1995
9096141;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 16;;Carl Koeppen; Umbau 1936  ;Wohnhaus;1899-1900 und 1936;Vor 1995
9096142;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 25;;Ferdinand Hˆche; Umbau 1899, 1918-19 ;Wohnhaus;1888-89 und 1899 und 1918-19;Nach 1995
9096143;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eichenallee 38, Kirschenallee 15;;Peter J¸rgensen ;NA;Wohnhaus;1936;Nach 1995
9096144;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Einsteinufer 11;;Karl Wilhelm Ochs ;NA;Institut f¸r Hochspannungstechnik und Institut f¸r Elektromaschinen der Technischen Universit‰t;1959-62;Nach 1995
9096145;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Einsteinufer 19;;Karl Wilhelm Ochs ;NA;ehem. Institut f¸r allgemeine Elektrotechnik und Lichttechnik;1959-62;Nach 1995
9096146;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Einsteinufer 37;;Carl Heinz Schwennicke ;NA;Heinrich-Hertz-Institut f¸r Schwingungsforschung;1963-68;Nach 1995
9096147;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Einsteinufer 73/75;;Paul Weing‰rtner ;NA;ehem. Kleinwohnungshaus Charlottenburger Ufer, Mietshaus;1922-23;Nach 1995
9011432;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eisenzahnstraﬂe 19-27, Mansfelder Straﬂe 52/54, Westf‰lische Straﬂe 79-80;;Jean Kr‰mer ;NA;Wohnblock;1929-30;Nach 1995
9011433;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eisenzahnstraﬂe 47-48;;Philipp Nitze  ;NA;3. Hˆhere M‰dchenschule Wilmersdorf;1911-13;Vor 1995
9011434;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eisenzahnstraﬂe 64;;Max Vogeler ;NA;Mietshaus;1908;Nach 1995
9011435;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Emser Straﬂe 12-13;;Max Gr¸nfeld ;NA;Vereinshaus der Provinzial-Groﬂloge;1911-13;Nach 1995
9011436;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Emser Straﬂe 50;;Otto Herrnring ;NA;Fichte-Gymnasium;1909;Nach 1995
9096051;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eosanderstraﬂe 18-18C;;Hans Kollhoff und Arthur Ovaska ;NA;Wohnhaus mit Zuwegung und Leuchten;1985-87;Nach 1995
9046441;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Erbacher Straﬂe 4;;Hermann Dernburg ;NA;Landhaus;1912;Nach 1995
9046442;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Erdener Straﬂe 4-4a, Wissmannstraﬂe 1;;Ludwig Otte und Otto Wipperling ;NA;Villa;1903-04;Nach 1995
9046443;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Erdener Straﬂe 5-5A;;Heinrich Franﬂen ;NA;Doppelvilla;1901-02;Nach 1995
9046444;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Erdener Straﬂe 8, Gneiststraﬂe 2;;Max Ravoth; 1911 von Hermann Muthesius ;Landhaus;1904-05 und 1911;Nach 1995
9020528;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ernst-Reuter-Platz 2;Siehe Ensemble Ernst-Reuter-Platz 2-10;Rolf Gutbrod und Hermann Kiess ;NA;IBM-Haus (Internationale B¸romaschinen GmbH), B¸rohaus;1960-61;Nach 1995
9020531;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ernst-Reuter-Platz 7;Siehe Ensemble Ernst-Reuter-Platz 2-10;Schwebes & Schoszberger  ;NA;Telefunken-Haus, B¸rohaus;1958-60;Vor 1995
9020532;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ernst-Reuter-Platz 8;Siehe Ensemble Ernst-Reuter-Platz 2-10;Bernhard Hermkes ;NA;Osram-Haus, B¸rohaus;1956-57;Nach 1995
9020533;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Ernst-Reuter-Platz 9-10;Siehe Ensemble Ernst-Reuter-Platz 2-10;Sobotka & M¸ller ;NA;B¸ro- und Gesch‰ftshaus (Fa. Pepper);1960-62 und 1963;Nach 1995
9096148;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Eschenallee 1A;;Wilhelm Schˆltz ;NA;Wohnhaus (ehem. G‰rtnerei);1887;Nach 1995
9096149;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 13;Siehe Gartendenkmal Fasanenstraﬂe 13;Bernhard Sehring  ;NA;K¸nstlerhaus St. Lukas, Mietshaus und Atelierhaus;1889-90;Vor 1995
9096150;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 15;;Wilhelm Prescher jun. ;NA;Mietshaus (Fassade und Vestib¸l), Laden;1891;Nach 1995
9020537;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 23;Siehe Ensemble Fasanenstraﬂe 22-26... und Gartendenkmal Fasanenstraﬂe 23;Becker & Schl¸ter  ;NA;Villa;1889-90;Vor 1995
9020539;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 25;Siehe Ensemble Fasanenstraﬂe 22-26... und Gartendenkmal Fasanenstraﬂe 25;Hans Grisebach  ;NA;Villa Grisebach;1891-92;Vor 1995
9020540;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 26;Siehe Ensemble Fasanenstraﬂe 22-26...;Wilhelm Martens ;NA;Einfamilienhaus;1891-92;Nach 1995
9011437;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 35;;Kayser & v. Groﬂheim ;NA;Villa;1890;Nach 1995
9011438;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 39;;Hans Grisebach ;NA;Mietshaus;1902-03;Nach 1995
9020548;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 70;Siehe Ensemble Fasanenstraﬂe 22-26...;Samuel Fritz Goldmann ;NA;Mietshaus;1898-99;Nach 1995
9020549;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 71;Siehe Ensemble Fasanenstraﬂe 22-26...;Samuel Fritz Goldmann ;NA;Mietshaus, L‰den;1898-99;Nach 1995
9020550;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 73;Siehe Ensemble Fasanenstraﬂe 22-26...;Paul Lingner ;NA;Mietshaus;1898-99;Nach 1995
9096151;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 78;;Sobotta; Umbauten 1926, 1985, 1991  ;Villa Ilse, Einfamilienhaus;1872-74 und 1926 und 1985 und 1991;Vor 1995
9096152;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fasanenstraﬂe 79-80;;Dieter Knoblauch und Heinz Heise; Teil des Portals der ehem. Synagoge, 1911-12 von Ehrenfried Hessel  ;J¸disches Gemeindehaus;1957-59 und 1911-12;Vor 1995
9011439;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fehrbelliner Platz 1, Hohenzollerndamm 30-31, W¸rttembergische Straﬂe 5;;Philipp Sch‰fer ;NA;Rudolph-Karstadt-AG;1935-36;Nach 1995
9011440;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fehrbelliner Platz 2;;Otto Firle  ;NA;Nordstern-Lebensversicherung;1935-36;Vor 1995
9011441;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fehrbelliner Platz 3, Barstraﬂe 57-61, Brandenburgische Straﬂe 68, Mannheimer Straﬂe, Mansfelder Straﬂe 6;;der Reichsbaudirektion Berlin ;NA;ehem. Reichs-Getreidestelle;1935-38;Nach 1995
9011442;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fehrbelliner Platz 4, Barstraﬂe, Brienner Straﬂe 16, Hohenzollerndamm, Mansfelder Straﬂe 8;;A. Remmelmann ;NA;ehem. Deutsche Arbeitsfront, Rathaus Wilmersdorf;1941-43;Nach 1995
9096451;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;"Fern- und S-Bahnhof Charlottenburg mit Personen- und Gep‰cktunnel, 1881-82 von Ernst Dircksen (?); Eingang Windscheidstraﬂe mit Kartenschalter, 1905 von Wambsgans; Bahnsteig¸berdachung (Fernbahnsteig B), 1906 von Korth, Stuttgarter Platz";Siehe Gesamtanlage Stadtbahntrasse...;Ernst Dircksen (?);" Eingang Windscheidstraﬂe mit Kartenschalter, 1905 von Wambsgans; Bahnsteig¸berdachung (Fernbahnsteig B), 1906 von Korth, nach Typenentwurf von 1896; Stationsgeb‰ude, 1972-75 von G¸nther Hˆnow ";Fern- und S-Bahnhof Charlottenburg mit Personen- und Gep‰cktunnel;1881-82 und 1905 und 1906 und 1896 und 1972-75;Nach 1995
9096400;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Flatowallee 20;;Otto v. Estorff und Gerhard Winkler ;NA;Einfamilienhaus;1933-34;Nach 1995
9096401;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Flatowallee 22;;Richard Scheibner ;NA;ehem. Polizeirevier 123;1930-31;Nach 1995
9070276;CHA-WIL/SCHMA-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Flinsberger Platz 3, Kudowastraﬂe 15;;Hans Scharoun ;NA;Mietshaus;1931;Nach 1995
9046445;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fontanestraﬂe 12A;;Joseph Meyer ;NA;Landhaus;1925-26;Nach 1995
9046446;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fontanestraﬂe 14;;Carl M. Moritz ;NA;Einfamilienhaus;1938-39;Nach 1995
9046447;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fontanestraﬂe 21/23;;Otto March  ;NA;Landhaus Schreckhas;1893;Vor 1995
9096153;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Franklinstraﬂe 1, Salzufer 9-10;;Herbert Noth; Lagerhalle, 1958 von Herbert Noth ;ehem. Chemisch-kosmetische Fabrik Alfred Heyn, Verwaltungs- und Fabrikationsbau;1956 und 1958;Nach 1995
9096154;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Franklinstraﬂe 9-10;;NA;NA;ehem. Maschinenfabrik J. C. G. Freund, Fabrikhalle;1870;Nach 1995
9096157;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Franklinstraﬂe 27;;Martin de la Sauce ;NA;ehem. Siemens-Schuckert-Werke, Materialverwaltung;1896-98;Nach 1995
9070279;CHA-WIL/SCHMA-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Franzensbader Straﬂe 17;;Hans Baier und Konrad Fleck  ;NA;Landhaus;1939;Vor 1995
9096158;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fraunhoferstraﬂe 11-12, Kohlrauschstraﬂe 2/12;;Johann H¸ckels; Erweiterung 1908  ;ehem. St‰ndige Ausstellung f¸r Arbeiterwohlfahrt;1900-03 und 1908;Vor 1995
9096159;CHA-WIL/WESTE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fredericiastraﬂe 2-3;;Rudolf MatÈ ;NA;Junggesellenhaus, Mietshaus;1930-31;Nach 1995
9070280;CHA-WIL/SCHMA-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Friedrichshaller Straﬂe 12-13, 14. Volksschule Schmargendorf (heute Alt-Schmargendorf-Schule), Reichenhaller Straﬂe 8;;Alfred Solbach; Erweiterung, 1933 von E. Kˆrner ;14. Volksschule Schmargendorf (heute Alt-Schmargendorf-Schule), vor;1900 und 1908 und 1933;Nach 1995
9096160;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fritschestraﬂe 22, Zillestraﬂe 105-105A;;Paul Eichner ;NA;Mietshaus;1906-07;Nach 1995
9096161;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fritschestraﬂe 26;;Franz Lehmann ;NA;Mietshaus;1907-08;Nach 1995
9096162;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fritschestraﬂe 27-28;;Franz Goltsch ;NA;Mietshaus mit Gewerbehof und Groﬂgarage;1906-07;Nach 1995
9096163;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fritschestraﬂe 29A;;Fritz Bartels ;NA;Mietshaus;1909-10;Nach 1995
9096164;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Fritschestraﬂe 79;;Hermann Siegenthaler ;NA;Mietshaus (Vestib¸l, Treppenhaus), L‰den;1910;Nach 1995
9046448;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Furtw‰nglerstraﬂe 3/5;;Philipp Nitze; Umbau 1923 ;Gemeindehaus;1902 und 1923;Nach 1995
9046449;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Furtw‰nglerstraﬂe 4;;Georg Bˆhme ;NA;Landhaus;1893-94;Nach 1995
9046450;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Furtw‰nglerstraﬂe 15;;Cremer & Wolffenstein ;NA;Landhaus Imelmann;1898-99;Nach 1995
9046451;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Furtw‰nglerstraﬂe 19;;Fritz Taphorn ;NA;Einfamilienhaus;1934-35;Nach 1995
9046452;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Furtw‰nglerstraﬂe 25, Hubertusbader Straﬂe 25;;Arnold Hartmann ;NA;Villa B¸ttner;1896;Nach 1995
9011443;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gasteiner Straﬂe 9-10, Fechnerstraﬂe 11;;Wilhelm Bielicke ;NA;Mietshaus;1903-04;Nach 1995
9011444;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gasteiner Straﬂe 19-20;;Philipp Nitze ;NA;Feuerwache Wilmersdorf;1908;Nach 1995
9011445;CHA-WIL/WILMD-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gasteiner Straﬂe 21-25, Uhlandstraﬂe 91-93;;Otto Herrnring  ;NA;Victoria-Luise-Lyzeum;1903-04;Vor 1995
9096027;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gauﬂstraﬂe 11, Lise-Meitner-Straﬂe;;Paul Bratring ;NA;Reservoirturm des ehemaligen Gaswerks Charlottenburg II;1889-91;Nach 1995
9096166;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gervinusstraﬂe 18;;Hans Finder ;NA;Mietshaus;1910;Nach 1995
9096167;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gervinusstraﬂe 20A-B;Siehe Gartendenkmal Gervinusstraﬂe 20A-B;Kurt Messerschmidt ;NA;Mietshaus;1911-12;Nach 1995
9096168;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gervinusstraﬂe 34;Siehe Gesamtanlage Stadtbahntrasse...;Richard Brademann ;NA;Kleingleichrichterwerk;1927-28;Nach 1995
9020631;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gierkeplatz;Siehe Ensemble Haubachstraﬂe 1-31;Philipp Gerlach;" Umbau 1823-26 von Karl Friedrich Schinkel; Wiederherstellung 1950-54 von Hinnerk Scheper  ";Ev. Luisenkirche;1712-16 und 1823-26 und 1950-54;Vor 1995
9020660;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gierkeplatz 2/4, Behaimstraﬂe 22/24, Gierkezeile 40;Siehe Ensemble Haubachstraﬂe 1-31;Peter J¸rgensen ;NA;Pfarr- und Gemeindehaus der Luisengemeinde, Kino;1932-34;Nach 1995
9020632;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gierkezeile 29, Haubachstraﬂe 26;Siehe Ensemble Haubachstraﬂe 1-31;Otto Harnisch ;NA;Mietshaus, L‰den;1887-88;Nach 1995
9020633;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gierkezeile 32;Siehe Ensemble Haubachstraﬂe 1-31;Ernst George ;NA;Mietshaus;1885-86;Nach 1995
9020650;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gierkezeile 39;Siehe Ensemble Haubachstraﬂe 1-31;Schulze;" Anbau 1798; Umbau 1956-57 von Hans-Dieter Bolle  ";ehem. Schulhaus;1785-86 und 1798 und 1956-57;Vor 1995
9096169;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Giesebrechtstraﬂe;;Wilhelm Walther (?) ;NA;ehem. St.-Georgs-Brunnen (bis um;1972 und 1903-04;Nach 1995
9096170;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Giesebrechtstraﬂe 3;;Bruno Hubert; Fassade von Josef Appelt ;Mietshaus, L‰den;1904-05;Nach 1995
9020572;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Giesebrechtstraﬂe 6;Siehe Ensemble Giesebrechtstraﬂe 5-8...;Ferdinand und Gustav Gˆtze ;NA;Mietshaus, Laden;1905-06;Nach 1995
9096171;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Giesebrechtstraﬂe 20;;Josef Appelt ;NA;Mietshaus;1904-05;Nach 1995
9046453;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gillweg 3, Hubertusallee 6/8;;Felix Hinssen ;NA;Appartmenthochhaus;1956-58;Nach 1995
9096172;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 69;;Curt und Arthur Reimer ;NA;Mietshaus, L‰den;1902-03;Nach 1995
9096173;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 71;;Otto Schnock ;NA;Mietshaus, L‰den;1893-94;Nach 1995
9096174;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 72;;Ernst Gerhardt ;NA;Mietshaus, L‰den, Gewerbefl¸gel;1911-12;Nach 1995
9096175;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 78, Grolmanstraﬂe 59;;Gustav Hildebrand (Vestib¸l und Treppenhaus); Ateliergeb‰ude, 1902 von Paul Vogdt ;Mietshaus, L‰den;1893-94 und 1902;Nach 1995
9096176;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 81;;Eduard Schenk ;NA;Mietshaus (Vestib¸l), L‰den;1892-93;Nach 1995
9096177;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goethestraﬂe 83;;Julius Miessner ;NA;Mietshaus (Fassade und Vestib¸l);1892-93;Nach 1995
9096178;CHA-WIL/CHARL-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Goslarer Platz, Kaiserin-Augusta-Allee;;NA;NA;Goslarer Platz, Toilettenh‰uschen;1895;Nach 1995
9046454;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gottfried-von-Cramm-Weg 33/37;Siehe Gartendenkmal Gottfried-von-Cramm-Weg 33/37;Oskar Kaufmann  ;NA;Haus Konschewski;1922-24;Vor 1995
9010221;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Gottfried-von-Cramm-Weg 47/55;;Paul G. R. Baumgarten ;NA;Clubhaus des LTTC Rot-Weiﬂ;1958-59;Nach 1995
9046455;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 1/3, Nikischstraﬂe 2;;Matth‰us Heinrich ;NA;Landhaus;1923;Nach 1995
9046456;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 5/7;Siehe Gartendenkmal Griegstraﬂe 5/7;Breslauer & Salinger ;NA;Landhaus Heidemann;1927-29;Nach 1995
9046457;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 9/11;;Heinz Reifenberg ;NA;Landhaus;1927-29;Nach 1995
9046458;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 14;;Joseph Meyer ;NA;Landhaus;1923-24;Nach 1995
9046459;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 19/21, Spohrstraﬂe 10;;Max Landsberg ;NA;Landhaus;1924-25;Nach 1995
9046460;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 29;;Fritz August Breuhaus de Groot  ;NA;Einfamilienhaus;1934-35;Vor 1995
9046461;CHA-WIL/GRUNE-D;Charlottenburg-Wilmersdorf;Baudenkmal;NA;Griegstraﬂe 31;Siehe Gartendenkmal Griegstraﬂe 31;Fritz August Breuhaus de Groot  ;NA;Einfamilienhaus;1933;Vor 1995
